task_id,primitive,separability,eta,generator,seed,prefix,dof,n_obs,coverage,S,ESS,E_struct,d_eff,V_f,V_f_norm,state,reliable
turning:high:spline:13,turning,high,0.8,spline,13,0.3,5,37,1,1.0082426000097235,264.47318861509416,0.6875061202780117,3.0558460082122334,0.035162887412914005,1.8098626335883128,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.4,5,49,1,1.024185324756073,175.4196777628045,0.48607994709402647,2.871243529623785,0.036177388397726246,1.8620798307311128,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.5,5,61,1,1.1349642343375712,78.41036521506349,0.15313049695086442,2.415741203519262,0.03605866418254481,1.8559689980729261,measurement-unreliable,0
turning:high:spline:13,turning,high,0.8,spline,13,0.6,5,73,1,1.3237919267789058,21.716051386579522,0.026668769208908955,2.087353388364651,0.03729901083608366,1.9198106568814068,measurement-unreliable,0
turning:high:spline:13,turning,high,0.8,spline,13,0.7,5,85,1,1.3200472406293553,2.1506472631239135,0.011173923210142754,2.6631454695000536,0.009502933925811143,0.4891237974805144,measurement-unreliable,0
turning:high:spline:14,turning,high,0.8,spline,14,0.2,1,25,1,1.3862943611198906,3411.223935852841,0.2355999301434843,1.0,0.009323227145546578,0.12495915026247018,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.3,1,37,1,1.3862943611198906,1700.4993607590438,0.10462245855945781,1.0,0.008107907809384016,0.10867023343424889,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.4,1,49,1,1.3862943611198906,395.43674606654025,0.03779672689155652,1.0,0.0065182045014762265,0.0873634507693555,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.5,1,61,1,1.3862943611198906,48.84476016872321,0.009071043503834336,1.0,0.004777864738044826,0.06403768871171266,measurement-unreliable,0
turning:high:spline:14,turning,high,0.8,spline,14,0.6,1,73,1,1.3862943611198906,8.524471301223898,0.0024336640665654557,1.0,0.0020485998200876184,0.027457369508397885,measurement-unreliable,0
turning:high:spline:14,turning,high,0.8,spline,14,0.7,1,85,1,1.3862943611198906,3.0209068452276804,0.0008934399630419039,1.0,0.0005950571057394971,0.007975546356432054,measurement-unreliable,0
turning:high:spline:14,turning,high,0.8,spline,14,0.2,3,25,1,1.3606531309677679,2206.392425824638,0.2355999301434843,2.374403532679043,0.025657782843565808,0.3438910896086514,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.3,3,37,1,1.3656488167922824,1570.0352177454918,0.10462245855945781,2.4158225374421898,0.025251571376181798,0.33844664006357905,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.4,3,49,1,1.3642007255535935,633.7934324174195,0.03779672689155652,2.478561375257396,0.02396440924088465,0.321194814685326,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.5,3,61,1,1.3618319206868403,92.47179853854986,0.009071043503834336,2.4526614077846367,0.019213860186523955,0.257523237896955,measurement-unreliable,0
turning:high:spline:14,turning,high,0.8,spline,14,0.6,3,73,1,1.3522647302505575,10.04497889337088,0.0024336640665654557,2.16329966307161,0.010208976565315837,0.13683084373426468,measurement-unreliable,0
turning:high:spline:14,turning,high,0.8,spline,14,0.7,3,85,1,1.2315089342447207,7.8473499219805,0.0008934399630419039,1.7478664275357139,0.013994258099586335,0.1875649464910125,measurement-unreliable,0
turning:high:spline:14,turning,high,0.8,spline,14,0.2,5,25,1,1.1643734455977084,893.7869754887902,0.2355999301434843,3.7069573735369934,0.04154012019043059,0.5567619494583035,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.3,5,37,1,1.1300093034287373,606.029542194269,0.10462245855945781,3.4944183489760237,0.03774845673089222,0.505942309800431,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.4,5,49,1,1.1796926040870224,361.7459990316301,0.03779672689155652,3.4452623540154454,0.03461706647778753,0.46397230745472456,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.5,5,61,1,1.2514091114217876,133.24045570022395,0.009071043503834336,3.42730399384793,0.03125916619515272,0.41896639271793895,external-informative,1
turning:high:spline:14,turning,high,0.8,spline,14,0.6,5,73,1,1.3020980883607585,28.54623945923915,0.0024336640665654557,3.16439204809519,0.029472680811530805,0.3950221412255412,measurement-unreliable,0
turning:high:spline:14,turning,high,0.8,spline,14,0.7,5,85,1,0.8631480460699282,6.375780874882899,0.0008934399630419039,2.337336813010981,0.027802169950726107,0.37263229547668003,measurement-unreliable,0
turning:high:spline:15,turning,high,0.8,spline,15,0.2,1,25,1,1.3862943611198906,4019.35753292987,0.27544234332673023,1.0,0.008386816724085798,0.1482544555092869,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.3,1,37,1,1.3862943611198906,3548.2388878814504,0.15552251348147647,1.0,0.007084534765301729,0.12523390920777638,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.4,1,49,1,1.3862943611198904,2457.0086904110353,0.06218036182653594,1.0,0.005869744699625399,0.1037599643643511,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.5,1,61,1,1.3862943611198906,1171.4252213047416,0.023732559913831414,1.0,0.004968027801121489,0.08782023988852,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.6,1,73,1,1.3862943611198906,342.87387530106486,0.010471029617568812,1.0,0.004171821682193947,0.07374563822281681,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.7,1,85,1,1.3862943611198906,64.68787885199572,0.0058525006862485,1.0,0.0038362237736561697,0.06781324613209218,measurement-unreliable,0
turning:high:spline:15,turning,high,0.8,spline,15,0.2,3,25,1,1.2498811977957542,2245.7902271848357,0.27544234332673023,2.3327252006565793,0.022492355863381268,0.3975992419233642,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.3,3,37,1,1.256937631319635,2165.2717611667717,0.15552251348147647,2.3646804899422564,0.02273858137650261,0.40195179076057264,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.4,3,49,1,1.2545768865725506,1739.13009274916,0.06218036182653594,2.388876044429288,0.022239464122315814,0.3931288536213543,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.5,3,61,1,1.2290359671996893,907.2476014735643,0.023732559913831414,2.3801631282484474,0.021069785551481153,0.37245234841742353,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.6,3,73,1,1.1352476993006086,228.0756688613728,0.010471029617568812,2.356899206139063,0.018435074837424674,0.32587834839007634,external-informative,1
turning:high:spline:15,turning,high,0.8,spline,15,0.7,3,85,1,0.9371347209476726,37.250116653377624,0.0058525006862485,2.2469654307386016,0.014328034423005488,0.2532778540158865,measurement-unreliable,0
turning:high:spline:15,turning,high,0.8,spline,15,0.2,5,25,1,1.0686425397830492,878.4831590865579,0.27544234332673023,3.6080300594058454,0.039732092171487196,0.7023474918930843,external-informative,1
