factorial,primitive,engine,action,support_fraction,noise_ratio,exposure,effect_strength,ood_distance,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,n
support_noise,asymptote,spline,true-full,0.525,0.001,0.55,0.55,0.4,0.31666666666666665,0.2,0.43333333333333335,0.001986395763522253,0.0011118888872318853,0.0029241431846181113,0.6833333333333333,0.1,60
support_noise,asymptote,spline,true-full,0.525,0.01,0.55,0.55,0.4,0.1,0.03333333333333333,0.18333333333333332,0.029465456972437413,0.022527109969023677,0.0370731249321006,0.9,0.05,60
support_noise,asymptote,spline,true-full,0.525,0.05,0.55,0.55,0.4,0.03333333333333333,0.0,0.08333333333333333,0.16963777996538162,0.1386802885420575,0.2013379159817789,0.9666666666666667,0.0,60
support_noise,asymptote,spline,true-full,0.7,0.001,0.55,0.55,0.4,0.18333333333333332,0.08333333333333333,0.2833333333333333,0.00655545681677384,0.004807648171043912,0.008430691751176974,0.8,0.08333333333333333,60
support_noise,asymptote,spline,true-full,0.7,0.01,0.55,0.55,0.4,0.05,0.0,0.11666666666666667,0.06916990187884815,0.056021441407239206,0.08346846087516784,0.95,0.016666666666666666,60
support_noise,asymptote,spline,true-full,0.7,0.05,0.55,0.55,0.4,0.0,0.0,0.0,0.358733824034612,0.28777063535489666,0.4366785310774837,1.0,0.0,60
support_noise,bound,neural,true-full,0.35,0.001,0.55,0.55,0.4,0.16666666666666666,0.08333333333333333,0.26666666666666666,0.024887043013720102,0.018969507825456183,0.03077749107228876,0.8,0.0,60
support_noise,bound,neural,true-full,0.35,0.01,0.55,0.55,0.4,0.2833333333333333,0.16666666666666666,0.4,0.01931890380213731,0.012724125754003966,0.02616363738167322,0.6333333333333333,0.0,60
support_noise,bound,neural,true-full,0.35,0.05,0.55,0.55,0.4,0.11666666666666667,0.05,0.2,0.02748288297149581,0.021881169518018922,0.03294191763738979,0.8,0.0,60
support_noise,bound,neural,true-full,0.525,0.001,0.55,0.55,0.4,0.23333333333333334,0.13333333333333333,0.35,0.028013723168191687,0.019769420697712543,0.03575484253261391,0.7333333333333333,0.0,60
support_noise,bound,neural,true-full,0.525,0.01,0.55,0.55,0.4,0.25,0.15,0.36666666666666664,0.02031737809266559,0.01203912441073216,0.02854814651471989,0.6333333333333333,0.0,60
support_noise,bound,neural,true-full,0.525,0.05,0.55,0.55,0.4,0.38333333333333336,0.26666666666666666,0.5,0.013794716684934006,0.004836211090936641,0.022674722269151924,0.5666666666666667,0.0,60
support_noise,bound,neural,true-full,0.7,0.001,0.55,0.55,0.4,0.5166666666666667,0.4,0.65,-0.008723931087487018,-0.01762213799423936,-0.00019117184158525403,0.4,0.0,60
support_noise,bound,neural,true-full,0.7,0.01,0.55,0.55,0.4,0.4666666666666667,0.35,0.5833333333333334,-0.007271254436099748,-0.015389749915222802,0.0010698341637438115,0.4166666666666667,0.0,60
support_noise,bound,neural,true-full,0.7,0.05,0.55,0.55,0.4,0.48333333333333334,0.35,0.6166666666666667,-0.007108694709578265,-0.01538534686847175,0.0009782899768548499,0.35,0.0,60
support_noise,bound,spline,true-full,0.35,0.001,0.55,0.55,0.4,0.13333333333333333,0.05,0.21666666666666667,0.006500767331575573,0.004592528281709655,0.008631037075996845,0.8,0.0,60
support_noise,bound,spline,true-full,0.35,0.01,0.55,0.55,0.4,0.11666666666666667,0.05,0.2,0.00706887828949074,0.005014575338070582,0.009295654968208496,0.8333333333333334,0.0,60
support_noise,bound,spline,true-full,0.35,0.05,0.55,0.55,0.4,0.36666666666666664,0.25,0.5,0.008693787023552934,0.0031136055168279942,0.014934785472018491,0.55,0.05,60
support_noise,bound,spline,true-full,0.525,0.001,0.55,0.55,0.4,0.2,0.1,0.3,0.01762267008706049,0.01127761746434507,0.024491698925179817,0.6833333333333333,0.0,60
