task_id,proposal_index,prefix_exposure,policy,nrmse
13,13,medium,closed_mechanism,0.5145490169381497
13,13,medium,invariant_residual_MAP,0.11163076808677963
13,13,medium,invariant_residual_ensemble,0.0241039895275707
13,13,medium,evidence_weighted_residual_mixture,0.07905007225136836
13,13,medium,free_baseline,0.05635718003064928
14,14,high,closed_mechanism,0.5065707893428639
14,14,high,invariant_residual_MAP,0.0819393874942275
14,14,high,invariant_residual_ensemble,0.08133390238994219
14,14,high,evidence_weighted_residual_mixture,0.06038436683909215
14,14,high,free_baseline,0.06343528328226757
14,14,low,closed_mechanism,0.5065707893428639
14,14,low,invariant_residual_MAP,0.11804073066826616
14,14,low,invariant_residual_ensemble,0.00993304749645974
14,14,low,evidence_weighted_residual_mixture,0.009612431435340196
14,14,low,free_baseline,0.0161460453418319
14,14,medium,closed_mechanism,0.5065707893428639
14,14,medium,invariant_residual_MAP,0.03839090432990428
14,14,medium,invariant_residual_ensemble,0.0550687725331222
14,14,medium,evidence_weighted_residual_mixture,0.01923891742401322
14,14,medium,free_baseline,0.029548206394621114
15,15,high,closed_mechanism,0.12862269063529033
15,15,high,invariant_residual_MAP,0.017494374779746667
15,15,high,invariant_residual_ensemble,0.06891762010472768
15,15,high,evidence_weighted_residual_mixture,0.06595035839917665
15,15,high,free_baseline,0.007518410849983476
15,15,low,closed_mechanism,0.12862269063529033
15,15,low,invariant_residual_MAP,0.32529363828863117
15,15,low,invariant_residual_ensemble,0.2306012009365178
15,15,low,evidence_weighted_residual_mixture,0.23091862608164757
15,15,low,free_baseline,0.35234395369827354
15,15,medium,closed_mechanism,0.12862269063529033
15,15,medium,invariant_residual_MAP,0.16079943770758598
15,15,medium,invariant_residual_ensemble,0.16310887304890653
15,15,medium,evidence_weighted_residual_mixture,0.16320398122032756
15,15,medium,free_baseline,0.03328724700078953
16,16,high,closed_mechanism,0.5332433848783896
16,16,high,invariant_residual_MAP,0.004068976199287754
16,16,high,invariant_residual_ensemble,0.08409727806687238
16,16,high,evidence_weighted_residual_mixture,0.039762072985295445
16,16,high,free_baseline,0.025194347015550185
16,16,low,closed_mechanism,0.5332433848783896
16,16,low,invariant_residual_MAP,0.12426843478716855
16,16,low,invariant_residual_ensemble,0.02924926046282239
16,16,low,evidence_weighted_residual_mixture,0.004846100009314485
16,16,low,free_baseline,0.016485690303074067
16,16,medium,closed_mechanism,0.5332433848783896
16,16,medium,invariant_residual_MAP,0.10037551347429145
16,16,medium,invariant_residual_ensemble,0.18535708243305196
16,16,medium,evidence_weighted_residual_mixture,0.18477209023399513
16,16,medium,free_baseline,0.10467536948784159
17,17,high,closed_mechanism,0.3539990705853532
17,17,high,invariant_residual_MAP,0.00264987539960422
17,17,high,invariant_residual_ensemble,0.0421190965597703
17,17,high,evidence_weighted_residual_mixture,0.04179120631565721
17,17,high,free_baseline,0.07332151962197761
17,17,low,closed_mechanism,0.3539990705853532
17,17,low,invariant_residual_MAP,0.5852903348364463
17,17,low,invariant_residual_ensemble,0.6739978229782246
17,17,low,evidence_weighted_residual_mixture,0.6736807222984218
17,17,low,free_baseline,0.44232221903164953
17,17,medium,closed_mechanism,0.3539990705853532
17,17,medium,invariant_residual_MAP,0.11854557895464439
17,17,medium,invariant_residual_ensemble,0.03147899274465102
17,17,medium,evidence_weighted_residual_mixture,0.03675933878716482
17,17,medium,free_baseline,0.1150171529151994
18,18,high,closed_mechanism,0.3412288004131681
18,18,high,invariant_residual_MAP,0.07117544561492586
18,18,high,invariant_residual_ensemble,0.006810647199273958
18,18,high,evidence_weighted_residual_mixture,0.013430748021579966
18,18,high,free_baseline,0.049654168136256255
18,18,low,closed_mechanism,0.3412288004131681
18,18,low,invariant_residual_MAP,0.03283759525224545
18,18,low,invariant_residual_ensemble,0.35800756759598656
18,18,low,evidence_weighted_residual_mixture,0.35794352301443805
18,18,low,free_baseline,0.08302319177800792
18,18,medium,closed_mechanism,0.3412288004131681
18,18,medium,invariant_residual_MAP,0.055717008414839966
18,18,medium,invariant_residual_ensemble,0.0673621459970792
18,18,medium,evidence_weighted_residual_mixture,0.07027766824604485
18,18,medium,free_baseline,0.03221260108925634
19,19,high,closed_mechanism,0.2544013008629707
19,19,high,invariant_residual_MAP,0.12563458552501616
19,19,high,invariant_residual_ensemble,0.047051983133212426
19,19,high,evidence_weighted_residual_mixture,0.07220680920695206
19,19,high,free_baseline,0.08948375111061298
19,19,low,closed_mechanism,0.2544013008629707
19,19,low,invariant_residual_MAP,0.44916838409310095
19,19,low,invariant_residual_ensemble,0.2564784515891671
19,19,low,evidence_weighted_residual_mixture,0.3201061597318684
19,19,low,free_baseline,0.3175392471550483
19,19,medium,closed_mechanism,0.2544013008629707
19,19,medium,invariant_residual_MAP,0.20454213044731484
19,19,medium,invariant_residual_ensemble,0.18587816247815528
19,19,medium,evidence_weighted_residual_mixture,0.1863390497243334
19,19,medium,free_baseline,0.47554330550064194
20,20,high,closed_mechanism,0.14870169741566833
20,20,high,invariant_residual_MAP,0.06203536157732206
20,20,high,invariant_residual_ensemble,0.03730192273688879
20,20,high,evidence_weighted_residual_mixture,0.03876142681024333
20,20,high,free_baseline,0.11203692667107522
20,20,low,closed_mechanism,0.14870169741566833
20,20,low,invariant_residual_MAP,0.43140864977915383
20,20,low,invariant_residual_ensemble,0.3480538504735676
20,20,low,evidence_weighted_residual_mixture,0.3678214954419132
20,20,low,free_baseline,0.47000515673561116
20,20,medium,closed_mechanism,0.14870169741566833
20,20,medium,invariant_residual_MAP,0.35547135045527933
20,20,medium,invariant_residual_ensemble,0.13871780585330634
20,20,medium,evidence_weighted_residual_mixture,0.13951717744134823
20,20,medium,free_baseline,0.49500800984656346
21,21,high,closed_mechanism,0.17031043313579675
21,21,high,invariant_residual_MAP,0.02900964193496816
21,21,high,invariant_residual_ensemble,0.054115695328061535
21,21,high,evidence_weighted_residual_mixture,0.04573053287547061
21,21,high,free_baseline,0.009173550046299729
21,21,low,closed_mechanism,0.17031043313579675
21,21,low,invariant_residual_MAP,0.873177244038552
21,21,low,invariant_residual_ensemble,0.6810386213955253
21,21,low,evidence_weighted_residual_mixture,0.72570033433227
21,21,low,free_baseline,0.6908021223670011
21,21,medium,closed_mechanism,0.17031043313579675
21,21,medium,invariant_residual_MAP,0.02386251376221069
21,21,medium,invariant_residual_ensemble,0.14840941330310728
21,21,medium,evidence_weighted_residual_mixture,0.1473962577324667
21,21,medium,free_baseline,0.03005074179005869
22,22,high,closed_mechanism,0.22357272404981335
22,22,high,invariant_residual_MAP,0.09729756744505297
22,22,high,invariant_residual_ensemble,0.02365290529416889
22,22,high,evidence_weighted_residual_mixture,0.011116222798973207
22,22,high,free_baseline,0.017049809894314802
22,22,low,closed_mechanism,0.22357272404981335
22,22,low,invariant_residual_MAP,0.5441365313495874
22,22,low,invariant_residual_ensemble,0.2556538824149541
22,22,low,evidence_weighted_residual_mixture,0.25578520610480854
22,22,low,free_baseline,0.6516427111370311
22,22,medium,closed_mechanism,0.22357272404981335
22,22,medium,invariant_residual_MAP,0.10951103876705211
22,22,medium,invariant_residual_ensemble,0.07506092247495534
22,22,medium,evidence_weighted_residual_mixture,0.07232703644377661
22,22,medium,free_baseline,0.006254455013570426
