task_id,field,generator,draw,baseline_specification_state,epsilon,sign,coverage,violation,S,S_baseline,delta_S_spec,delta_S_status,ESS,baseline_floor_hit,perturbed_floor_hit,sat_count,confidently_wrong,semantic_type,has_regime_invariant,has_asymptotic_mechanism_invariant,from_above_invariant
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.025,-1,1,1.734723475976807e-17,1.2965141980273043,1.2969913556090868,-0.0004771575817825724,exact,3953.9718516759312,0,0,180,0,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.025,1,1,1.734723475976807e-17,1.30610087896532,1.2969913556090868,0.009109523356233051,exact,3953.9718516759312,0,0,160,0,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.05,-1,0,0.02500000000000004,1.2927051117347041,1.2969913556090868,-0.0042862438743827,exact,3953.9718516759312,0,0,188,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.05,1,0,0.02500000000000004,1.307546840918532,1.2969913556090868,0.010555485309445167,exact,3953.9718516759312,0,0,157,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.1,-1,0,0.07500000000000008,1.2974687409789225,1.2969913556090868,0.00047738536983565893,exact,3953.9718516759312,0,0,178,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.1,1,0,0.07500000000000008,1.3022551710447006,1.2969913556090868,0.005263815435613717,exact,3953.9718516759312,0,0,168,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.2,-1,0,0.17499999999999988,1.302735076512928,1.2969913556090868,0.005743720903841121,exact,3953.9718516759312,0,0,167,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.2,1,0,0.17499999999999988,1.3056193558981903,1.2969913556090868,0.008628000289103488,exact,3953.9718516759312,0,0,161,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.3,-1,0,0.27499999999999997,1.3008168349501288,1.2969913556090868,0.0038254793410419374,exact,3953.9718516759312,0,0,171,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.3,1,0,0.27499999999999997,1.3008168349501288,1.2969913556090868,0.0038254793410419374,exact,3953.9718516759312,0,0,171,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.0,0,1,0.0,1.2965141980273043,1.2965141980273043,0.0,exact,3953.9718516759312,0,0,180,0,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.025,-1,0,0.020000000000000035,1.2908059957347404,1.2965141980273043,-0.005708202292563858,exact,3953.9718516759312,0,0,192,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.025,1,1,0.0,1.2998590922754483,1.2965141980273043,0.0033448942481439925,exact,3953.9718516759312,0,0,173,0,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.05,-1,0,0.045000000000000054,1.2922299945050553,1.2965141980273043,-0.004284203522249008,exact,3953.9718516759312,0,0,189,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.05,1,0,0.005000000000000022,1.3065826340086202,1.2965141980273043,0.010068435981315904,exact,3953.9718516759312,0,0,159,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.1,-1,0,0.0950000000000001,1.3012960504838778,1.2965141980273043,0.004781852456573477,exact,3953.9718516759312,0,0,170,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.1,1,0,0.05500000000000006,1.3061008789653201,1.2965141980273043,0.009586680938015846,exact,3953.9718516759312,0,0,160,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.2,-1,0,0.1949999999999999,1.3056193558981903,1.2965141980273043,0.00910515787088606,exact,3953.9718516759312,0,0,161,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.2,1,0,0.15499999999999986,1.3032152124009981,1.2965141980273043,0.006701014373693859,exact,3953.9718516759312,0,0,166,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.3,-1,0,0.295,1.3008168349501288,1.2965141980273043,0.00430263692282451,exact,3953.9718516759312,0,0,171,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,0.3,1,0,0.25499999999999995,1.2984241959534215,1.2965141980273043,0.001909997926117235,exact,3953.9718516759312,0,0,176,1,mechanistic,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.0,0,1,0.0,1.2870344199428785,1.2870344199428785,0.0,exact,3298.7977872602482,0,0,155,0,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.025,-1,1,0.0,1.282662458608697,1.2870344199428785,-0.004371961334181496,exact,3298.7977872602482,0,0,162,0,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.025,1,0,0.020000000000000035,1.2755803563826789,1.2870344199428785,-0.011454063560199623,exact,3298.7977872602482,0,0,174,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.05,-1,0,0.005000000000000022,1.2731695461771015,1.2870344199428785,-0.013864873765776942,exact,3298.7977872602482,0,0,178,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.05,1,0,0.045000000000000054,1.276067552150644,1.2870344199428785,-0.010966867792234547,exact,3298.7977872602482,0,0,173,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.1,-1,0,0.05500000000000006,1.2886384249692988,1.2870344199428785,0.0016040050264203298,exact,3298.7977872602482,0,0,154,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.1,1,0,0.0950000000000001,1.2812409532057634,1.2870344199428785,-0.005793466737115116,exact,3298.7977872602482,0,0,165,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.2,-1,0,0.15499999999999986,1.290163733654354,1.2870344199428785,0.003129313711475623,exact,3298.7977872602482,0,0,158,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.2,1,0,0.1949999999999999,1.2843390641318633,1.2870344199428785,-0.00269535581101521,exact,3298.7977872602482,0,0,162,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.3,-1,0,0.25499999999999995,1.301285811350405,1.2870344199428785,0.014251391407526626,exact,3298.7977872602482,0,0,158,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,0.3,1,0,0.295,1.2919398617242397,1.2870344199428785,0.004905441781361208,exact,3298.7977872602482,0,0,151,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.0,0,1,0.0,1.282662458608697,1.282662458608697,0.0,exact,3298.7977872602482,0,0,162,0,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.025,-1,1,1.734723475976807e-17,1.2731695461771015,1.282662458608697,-0.009492912431595446,exact,3298.7977872602482,0,0,178,0,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.025,1,1,1.734723475976807e-17,1.2870344199428785,1.282662458608697,0.004371961334181496,exact,3298.7977872602482,0,0,155,0,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.05,-1,0,0.02500000000000004,1.273159071061963,1.282662458608697,-0.009503387546734077,exact,3298.7977872602482,0,0,179,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.05,1,0,0.02500000000000004,1.2755803563826789,1.282662458608697,-0.007082102226018128,exact,3298.7977872602482,0,0,174,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.1,-1,0,0.07500000000000008,1.2843180842020245,1.282662458608697,0.0016556255933275477,exact,3298.7977872602482,0,0,162,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.1,1,0,0.07500000000000008,1.2840087467681718,1.282662458608697,0.0013462881594747955,exact,3298.7977872602482,0,0,160,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.2,-1,0,0.17499999999999988,1.2911776103753112,1.282662458608697,0.008515151766614215,exact,3298.7977872602482,0,0,160,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.2,1,0,0.17499999999999988,1.2870708203433665,1.282662458608697,0.004408361734669519,exact,3298.7977872602482,0,0,157,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.3,-1,0,0.27499999999999997,1.303787738386145,1.282662458608697,0.021125279777447936,exact,3298.7977872602482,0,0,162,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,0.3,1,0,0.27499999999999997,1.277353238144644,1.282662458608697,-0.005309220464053022,exact,3298.7977872602482,0,0,175,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.8,0.0,0,1,0.0,1.2791597088965025,1.2791597088965025,0.0,exact,3298.7977872602482,0,0,168,0,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.8,0.025,-1,0,0.020000000000000035,1.2729226308194457,1.2791597088965025,-0.006237078077056868,exact,3298.7977872602482,0,0,179,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.8,0.025,1,1,0.0,1.2851491110579052,1.2791597088965025,0.005989402161402646,exact,3298.7977872602482,0,0,158,0,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.8,0.05,-1,0,0.045000000000000054,1.2818911221482037,1.2791597088965025,0.0027314132517011203,exact,3298.7977872602482,0,0,165,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.8,0.05,1,0,0.005000000000000022,1.280994537779181,1.2791597088965025,0.0018348288826783854,exact,3298.7977872602482,0,0,165,1,phenomenological_trajectory,1,1,1
inflection_location:spline:0,inflection_location,spline,0,r0=+0.8,0.1,-1,0,0.0950000000000001,1.2803267303236257,1.2791597088965025,0.001167021427123105,exact,3298.7977872602482,0,0,169,1,phenomenological_trajectory,1,1,1
