experiment,family,condition,n,mean_normalized_utility,ci95_low,ci95_high,mean_delta_rmse,delta_rmse_ci95_low,delta_rmse_ci95_high,beneficial_rate,neutral_rate,harmful_rate,catastrophic_harm_rate,fields,b_norm,knowledge_subset,observability,method,architecture,distance
E5b_calibration_tolerance,asymptotic_bound,,150,-9.036939540435151,-13.143296454079506,-5.812038813864759,-0.020799296012828337,-0.023516246583179523,-0.018047289650759715,0.1,0.006666666666666667,0.8933333333333333,0.6733333333333333,lower,0.075,,,,,
E5b_calibration_tolerance,asymptotic_bound,,150,-14.587210614138467,-20.797793003232723,-9.64647652848052,-0.038330580379313806,-0.042046333904879246,-0.03466095781064648,0.0,0.0,1.0,0.8533333333333334,lower,0.1,,,,,
E5b_calibration_tolerance,asymptotic_bound,,150,-25.696088535891565,-35.81266169975959,-17.61618300908112,-0.07345503256576529,-0.0790778448835489,-0.06784632883623425,0.0,0.0,1.0,1.0,lower,0.15,,,,,
E5b_calibration_tolerance,asymptotic_bound,,150,-36.8049788148923,-51.46187536307038,-25.13202605702061,-0.10857955133197664,-0.11603547694453505,-0.10091826101468206,0.0,0.0,1.0,1.0,lower,0.2,,,,,
E5b_calibration_tolerance,asymptotic_bound,,150,-59.02276850743788,-81.96735984387075,-41.2704527382785,-0.17882863667881524,-0.1897711575027284,-0.16675349199558476,0.0,0.0,1.0,1.0,lower,0.3,,,,,
E5b_calibration_tolerance,asymptotic_bound,,150,-76.2464431099648,-105.56957410995406,-52.37186765122488,-0.2301930284107606,-0.2473330455304077,-0.2124605689929263,0.013333333333333334,0.006666666666666667,0.98,0.9733333333333334,lower,0.4,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,0.5429436468492344,0.3299516291189317,0.7016383484399366,0.07741318573269823,0.06846534497528937,0.08670835548183435,0.9333333333333333,0.006666666666666667,0.06,0.03333333333333333,scale,0.0,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,0.3535436196044437,0.13351544737173857,0.5311247824362324,0.06582158704008828,0.05643753549982283,0.07532582556725435,0.8666666666666667,0.0,0.13333333333333333,0.04666666666666667,scale,0.025,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-0.19559588865540334,-0.5872492614828028,0.12201376126977967,0.042355689547103254,0.031469154490897766,0.05338931248623816,0.7333333333333333,0.02666666666666667,0.24,0.12666666666666668,scale,0.05,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-0.7757632585869901,-1.3853326497213976,-0.2875288971128957,0.0149324048341651,0.0033318118063965767,0.02617206192487078,0.5066666666666667,0.02,0.47333333333333333,0.18666666666666668,scale,0.075,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-1.3676349023525791,-2.199352176883087,-0.7246681720198567,-0.013227383471713813,-0.02473903248113171,-0.0017068061140444657,0.36,0.02,0.62,0.24666666666666667,scale,0.1,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-2.584701070842888,-3.871458523221597,-1.6052594270871627,-0.06969212780204084,-0.08227213157465268,-0.05736574470085087,0.16,0.03333333333333333,0.8066666666666666,0.44,scale,0.15,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-3.817195448019843,-5.606986044933273,-2.501849012717256,-0.1271573403513272,-0.1410587023729916,-0.11316756720791542,0.1,0.006666666666666667,0.8933333333333333,0.64,scale,0.2,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-6.313891344570067,-9.077761747361464,-4.32042470044311,-0.2433109154388129,-0.260634972950344,-0.22504614134048934,0.013333333333333334,0.0,0.9866666666666667,0.82,scale,0.3,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-8.851332125485712,-12.5179744683963,-6.104701490786997,-0.3626587760200471,-0.3848179941533993,-0.3405120736653591,0.0,0.0,1.0,0.9133333333333333,scale,0.4,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,0.5429436468492344,0.32848536588670535,0.6965913064541882,0.07741318573269823,0.06818288870253644,0.086653058535511,0.9333333333333333,0.006666666666666667,0.06,0.03333333333333333,scale+shape,0.0,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,0.3391478109553227,0.12144015967726776,0.5086848549024942,0.06442000133685537,0.05465060232010889,0.07440347392752061,0.8666666666666667,0.0,0.13333333333333333,0.05333333333333334,scale+shape,0.025,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-0.20156356690581448,-0.5706142024183688,0.11071692749912733,0.04118765467620265,0.03004983343957847,0.05274748486342767,0.7266666666666667,0.03333333333333333,0.24,0.13333333333333333,scale+shape,0.05,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-0.7843642278961586,-1.3751924691625357,-0.317757883236665,0.014906954527078579,0.0023212119409937366,0.027485031635949467,0.5,0.02,0.48,0.19333333333333333,scale+shape,0.075,,,,,
E5b_calibration_tolerance,emergent_curvature,,150,-1.3689252976024848,-2.1825302335643673,-0.735582907991824,-0.012137195164430596,-0.025948013971856535,0.002242529982219874,0.38666666666666666,0.03333333333333333,0.58,0.2733333333333333,scale+shape,0.1,,,,,
