experiment,metric,band,family,n,mean_selection_regret,ci95_low,ci95_high,winner_disagreement_rate,incompatible_selection_rate
E1_E2_prior_evaluation_metric,delta_cosine,D3,asymptotic_bound,900,0.23344285551192887,0.20999517240092902,0.25657988901026546,0.5033333333333333,0.3888888888888889
E1_E2_prior_evaluation_metric,delta_cosine,D3,emergent_curvature,900,0.15599118070211573,0.14249621449980138,0.17004334513595487,0.7811111111111111,0.8733333333333333
E1_E2_prior_evaluation_metric,delta_cosine,D3,regime_change,900,0.147682389895102,0.13482992233687982,0.16070043152371852,0.7411111111111112,0.43
E1_E2_prior_evaluation_metric,derivative_sign,D1,asymptotic_bound,900,0.06668262381772636,0.062393436458211674,0.07094240639544855,0.9555555555555556,0.0
E1_E2_prior_evaluation_metric,derivative_sign,D1,emergent_curvature,900,0.020251358965621212,0.018898918573820315,0.021612334771563498,0.9711111111111111,0.0
E1_E2_prior_evaluation_metric,derivative_sign,D1,regime_change,900,0.018972389133926702,0.017196981022930394,0.02078853915036492,0.9455555555555556,0.0
E1_E2_prior_evaluation_metric,derivative_sign,D2,asymptotic_bound,900,0.12981969133490975,0.12215341522178189,0.1379010640700519,0.9577777777777777,0.0
E1_E2_prior_evaluation_metric,derivative_sign,D2,emergent_curvature,900,0.05065547586536351,0.047657887713225495,0.05368785150892132,0.9888888888888889,0.0
E1_E2_prior_evaluation_metric,derivative_sign,D2,regime_change,900,0.049733686102651234,0.04558076086866249,0.053942395276028225,0.9544444444444444,0.0
E1_E2_prior_evaluation_metric,derivative_sign,D3,asymptotic_bound,900,0.23881549596781068,0.22486961182069024,0.2527341943200039,0.9555555555555556,0.0
E1_E2_prior_evaluation_metric,derivative_sign,D3,emergent_curvature,900,0.12191178275362094,0.11565056223631377,0.128197580751821,0.9933333333333333,0.0
E1_E2_prior_evaluation_metric,derivative_sign,D3,regime_change,900,0.13381734452701777,0.12422443695971482,0.14330159625626934,0.9611111111111111,0.0
