primitive,separability,dof,prefix,mean_S,mean_ESS,E_struct,d_eff,V_f_norm
curvature,mid,3,0.3,0.2927792216851248,1528.9121518746294,0.48899749901952827,2.2318839817784184,0.6361616569856209
curvature,mid,3,0.4,0.2932051627900343,1236.974510520501,0.4603602448477712,2.217907851975044,0.6094477857000425
curvature,mid,3,0.5,0.2919100707735128,961.5740675175766,0.39879915796542775,2.1550273364535975,0.5571740605546072
curvature,mid,3,0.6,0.29034183426504034,737.976034507731,0.29680567404216895,2.0570426850653907,0.4599432740507737
curvature,mid,3,0.7,0.2888516586801439,558.6262943413549,0.19338912654097018,1.893632413174352,0.3407570122347052
curvature,mid,5,0.2,0.5257027723327531,588.7938830588186,0.4979488528949119,3.4572294620390402,1.0748972806248556
curvature,mid,5,0.3,0.4990716083504287,457.7430717198959,0.48899749901952827,3.2806158263617484,1.000143525476014
curvature,mid,5,0.4,0.48253136142101155,367.0736542880864,0.4603602448477712,3.189837091936139,0.9664610337639928
curvature,mid,5,0.5,0.488395441792761,281.5260795191011,0.39879915796542775,3.0725656936907364,0.9676617444309232
curvature,mid,5,0.6,0.554275731881425,202.79488636778845,0.29680567404216895,2.8819098197968587,0.87301522000786
curvature,mid,5,0.7,0.6156754146534599,140.40636387494666,0.19338912654097018,2.667270926675325,0.61680374815011
direction,high,1,0.2,0.5137941898446959,3975.91502774039,0.4099531085712796,1.0,0.01774129632238317
direction,high,1,0.3,0.5094827533532441,3615.3452067204767,0.38309151747210296,1.0,0.017360263839689433
direction,high,1,0.4,0.5034141265560587,3053.5208153212966,0.3736864922865289,1.0,0.016774014262072128
direction,high,1,0.5,0.4953863938653584,2460.804535908766,0.37122955873923663,1.0,0.01576305123369297
direction,high,1,0.6,0.48571191851466367,1969.1572888831306,0.36065665984614786,1.0,0.014555559527019745
direction,high,1,0.7,0.47527811532542436,1599.3636489606135,0.3398147824236711,1.0,0.013136475995634991
direction,high,3,0.2,0.5548717999140648,3220.724427000156,0.4099531085712796,2.905013428330855,0.049465086162137656
direction,high,3,0.3,0.5625543990885696,2769.8947448373633,0.38309151747210296,2.9064975738137306,0.05063609036699743
direction,high,3,0.4,0.5654026890205137,2394.4228637304427,0.3736864922865289,2.9015391872466467,0.050914323955745494
direction,high,3,0.5,0.5614778381180282,2087.8042785126268,0.37122955873923663,2.8981710911689986,0.050152812567957165
direction,high,3,0.6,0.5449939810900669,1813.6293238512635,0.36065665984614786,2.87714450166842,0.04896844858931013
direction,high,3,0.7,0.5068096892063507,1539.2720507583388,0.3398147824236711,2.8430281044409598,0.044956941660952786
direction,high,5,0.2,0.6013630135871609,2417.1765439283313,0.4099531085712796,4.5259078571448565,0.08252154228196433
direction,high,5,0.3,0.6109292879785507,1986.0816041554488,0.38309151747210296,4.5117284078907245,0.0782236919006664
direction,high,5,0.4,0.6415252262393417,1631.3576994029397,0.3736864922865289,4.452305655644203,0.07453762135880214
direction,high,5,0.5,0.6714081061612562,1382.3875961158756,0.37122955873923663,4.3365275206607885,0.07225788126478112
direction,high,5,0.6,0.6862435455539192,1221.1356880465462,0.36065665984614786,4.255952675446381,0.07310613309979998
direction,high,5,0.7,0.682877320610037,1104.3812023572843,0.3398147824236711,4.248846948437819,0.07316689802181414
direction,low,1,0.2,0.49560847968473193,3995.4287789942773,0.41380210290539104,1.0,0.018152899371335556
direction,low,1,0.3,0.4913303747947186,3662.316630745378,0.3723189435006457,1.0,0.01780598867907178
direction,low,1,0.4,0.4863021111917832,3079.979453950103,0.3531211406424448,1.0,0.017391396809083137
direction,low,1,0.5,0.4810982173536778,2466.755853747845,0.34489090564857827,1.0,0.017000070119970994
direction,low,1,0.6,0.47595920599420083,1986.2395599853987,0.3376914105976602,1.0,0.01635125296017392
direction,low,1,0.7,0.47085145918395604,1636.2379228881962,0.32706570246397487,1.0,0.014516064211397518
direction,low,3,0.2,0.5654896543386368,3281.9679335836754,0.41380210290539104,2.9022859510667103,0.05034161093540149
direction,low,3,0.3,0.5740725007230573,2826.753157469356,0.3723189435006457,2.9105138635142827,0.05123195698040722
direction,low,3,0.4,0.577532885566267,2437.4241602727147,0.3531211406424448,2.916778547721758,0.05183799524069741
direction,low,3,0.5,0.5738474294995758,2122.0015041552056,0.34489090564857827,2.916153626291725,0.05206904939088431
direction,low,3,0.6,0.5568345846709754,1842.7148851107631,0.3376914105976602,2.899225434581211,0.05117050843336012
direction,low,3,0.7,0.5160823102461191,1579.1615255744575,0.32706570246397487,2.84122614706887,0.046744809042512825
direction,low,5,0.2,0.6106514381341123,2467.4482859557424,0.41380210290539104,4.516424121698802,0.08436434719398524
direction,low,5,0.3,0.6245337798290397,2031.6679224010193,0.3723189435006457,4.513198657517296,0.08002672655521932
direction,low,5,0.4,0.6621870120971017,1667.1617970380555,0.3531211406424448,4.472427610587865,0.0770687100801949
direction,low,5,0.5,0.696149728579957,1425.6115521301933,0.34489090564857827,4.3990254821704715,0.07520798552578968
