primitive,separability,dof,prefix,lo,hi
regime,low,5,0.3,0.0,0.0
regime,low,5,0.4,0.0,0.0
regime,low,5,0.5,0.0,0.0
regime,low,5,0.6,0.0,0.0
regime,low,5,0.7,0.0,0.0
regime,mid,1,0.2,0.0,0.0
regime,mid,1,0.3,0.0,0.0
regime,mid,1,0.4,0.0,0.0
regime,mid,1,0.5,0.0,0.0
regime,mid,1,0.6,0.0,0.0
regime,mid,1,0.7,0.0,0.0
regime,mid,3,0.2,0.0,0.0
regime,mid,3,0.3,0.0,0.0
regime,mid,3,0.4,0.0,0.0
regime,mid,3,0.5,0.0,0.0
regime,mid,3,0.6,0.0,0.0
regime,mid,3,0.7,0.0,0.0
regime,mid,5,0.2,0.0,0.0
regime,mid,5,0.3,0.0,0.0
regime,mid,5,0.4,0.0,0.0
regime,mid,5,0.5,0.0,0.0
regime,mid,5,0.6,0.0,0.0
regime,mid,5,0.7,0.0,0.0
turning,high,1,0.2,0.0,0.0
turning,high,1,0.3,0.0,0.0
turning,high,1,0.4,0.0,0.049999999999999996
turning,high,1,0.5,0.0,0.049999999999999996
turning,high,1,0.6,0.0,0.049999999999999996
turning,high,1,0.7,0.0,0.049999999999999996
turning,high,3,0.2,0.0,0.0
turning,high,3,0.3,0.0,0.049999999999999996
turning,high,3,0.4,0.0,0.08333333333333333
turning,high,3,0.5,0.0,0.08333333333333333
turning,high,3,0.6,0.0,0.08333333333333333
turning,high,3,0.7,0.0,0.08333333333333333
turning,high,5,0.2,0.0,0.0
turning,high,5,0.3,0.0,0.049999999999999996
turning,high,5,0.4,0.0,0.08333333333333333
turning,high,5,0.5,0.0,0.08333333333333333
turning,high,5,0.6,0.0,0.08333333333333333
turning,high,5,0.7,0.0,0.08333333333333333
turning,low,1,0.2,0.0,0.0
turning,low,1,0.3,0.0,0.0
turning,low,1,0.4,0.0,0.0
turning,low,1,0.5,0.0,0.0
turning,low,1,0.6,0.0,0.0
turning,low,1,0.7,0.0,0.0
turning,low,3,0.2,0.0,0.0
turning,low,3,0.3,0.0,0.0
turning,low,3,0.4,0.0,0.0
turning,low,3,0.5,0.0,0.0
turning,low,3,0.6,0.0,0.0
turning,low,3,0.7,0.0,0.0
turning,low,5,0.2,0.0,0.0
turning,low,5,0.3,0.0,0.0
turning,low,5,0.4,0.0,0.0
turning,low,5,0.5,0.0,0.0
turning,low,5,0.6,0.0,0.0
turning,low,5,0.7,0.0,0.0
turning,mid,1,0.2,0.0,0.0
turning,mid,1,0.3,0.0,0.0
turning,mid,1,0.4,0.0,0.0
turning,mid,1,0.5,0.0,0.0
turning,mid,1,0.6,0.0,0.0
turning,mid,1,0.7,0.0,0.0
turning,mid,3,0.2,0.0,0.0
turning,mid,3,0.3,0.0,0.0
turning,mid,3,0.4,0.0,0.0
turning,mid,3,0.5,0.0,0.0
turning,mid,3,0.6,0.0,0.0
turning,mid,3,0.7,0.0,0.0
turning,mid,5,0.2,0.0,0.0
turning,mid,5,0.3,0.0,0.0
turning,mid,5,0.4,0.0,0.0
turning,mid,5,0.5,0.0,0.0
turning,mid,5,0.6,0.0,0.0
turning,mid,5,0.7,0.0,0.0
