latent_task_id,factorial,primitive,generator,replicate,engine,action,knowledge_tier,support_fraction,noise_ratio,exposure,ood_distance,effect_strength,sample_count,heterogeneity_cv,coverage,sharpness,ess,baseline_rmse,prior_rmse,utility,normalized_utility,beneficial,harmful,catastrophic_harm,solver_failure
e8_01481,support_noise,turning,ode,1,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2829511012598909,65.89230242031807,0.0017162761398820323,0.031052542410256064,-0.029336266270374032,-17.092975651569947,0,1,1,0
e8_01481,support_noise,turning,ode,1,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2829511012598909,65.89230242031807,0.02729176851359043,0.04611570772392266,-0.018823939210332225,-0.6897295498076097,0,1,0,0
e8_01482,support_noise,turning,ode,2,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.28023454194536235,65.89230242031807,0.002658294929113619,0.0146627744603293,-0.012004479531215681,-4.515856912542978,0,1,1,0
e8_01482,support_noise,turning,ode,2,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.28023454194536235,65.89230242031807,0.023316026831184222,0.035824278842610316,-0.012508252011426094,-0.5364658439445963,0,1,0,0
e8_01483,support_noise,turning,ode,3,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2821431768855696,65.89230242031807,0.0029541263303904837,0.046830356642989866,-0.04387623031259938,-14.852523353935142,0,1,1,0
e8_01483,support_noise,turning,ode,3,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2821431768855696,65.89230242031807,0.017018414791874683,0.060837453598006935,-0.04381903880613225,-2.574801433741839,0,1,1,0
e8_01484,support_noise,turning,ode,4,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2757288351862689,65.89230242031807,0.0011832480473179968,0.03627046862130046,-0.03508722057398247,-29.65330950979614,0,1,1,0
e8_01484,support_noise,turning,ode,4,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2757288351862689,65.89230242031807,0.02557912823870818,0.0519547031360856,-0.026375574897377418,-1.0311365833595532,0,1,1,0
e8_01485,support_noise,turning,ode,5,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2717221995619177,65.89230242031807,7.936677351165112e-05,0.10296475745722343,-0.10288539068371177,-1296.328250871986,0,1,1,0
e8_01485,support_noise,turning,ode,5,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2717221995619177,65.89230242031807,0.031509504246708744,0.11946763529021939,-0.08795813104351065,-2.791479369361964,0,1,1,0
e8_01486,support_noise,turning,ode,6,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2800999534430244,65.89230242031807,0.0005310981008001545,0.026451914756224184,-0.02592081665542403,-48.80608048940794,0,1,1,0
e8_01486,support_noise,turning,ode,6,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2800999534430244,65.89230242031807,0.024172814214269686,0.04558656222858907,-0.021413748014319382,-0.8858607783316527,0,1,0,0
e8_01487,support_noise,turning,ode,7,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27575282691264397,65.89230242031807,0.0007416133708355277,0.06971311839349167,-0.06897150502265614,-93.00197075054139,0,1,1,0
e8_01487,support_noise,turning,ode,7,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27575282691264397,65.89230242031807,0.036271689561046525,0.0863627962162633,-0.05009110665521678,-1.380997335977738,0,1,1,0
e8_01488,support_noise,turning,ode,8,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.276811469605591,65.89230242031807,0.00036333697463114556,0.07497318671801208,-0.07460984974338093,-205.3461523400523,0,1,1,0
e8_01488,support_noise,turning,ode,8,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.276811469605591,65.89230242031807,0.0603737451147041,0.09868265004847265,-0.03830890493376855,-0.6345292123419783,0,1,0,0
e8_01489,support_noise,turning,ode,9,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2745166069970401,65.89230242031807,0.0008421353207680817,0.06660443167638139,-0.0657622963556133,-78.0899396258951,0,1,1,0
e8_01489,support_noise,turning,ode,9,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2745166069970401,65.89230242031807,0.02770376161646841,0.08244197839895977,-0.054738216782491356,-1.9758405930677803,0,1,1,0
e8_01490,support_noise,turning,ode,10,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2708400821514363,65.89230242031807,0.0006593232460859776,0.0798705442489711,-0.07921122100288512,-120.14019143586476,0,1,1,0
e8_01490,support_noise,turning,ode,10,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2708400821514363,65.89230242031807,0.04189078666238419,0.10089344785856454,-0.05900266119618035,-1.4084877820917543,0,1,1,0
e8_01491,support_noise,turning,ode,11,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2808957252393408,65.89230242031807,4.327006330470531e-05,0.047444927715244126,-0.04740165765193942,-1095.4838988364693,0,1,1,0
e8_01491,support_noise,turning,ode,11,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2808957252393408,65.89230242031807,0.05640502382000749,0.06863309831175438,-0.012228074491746885,-0.21679052083671757,0,1,0,0
e8_01492,support_noise,turning,ode,12,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2825082165264619,65.89230242031807,0.0020692494723841973,0.020776169554848647,-0.01870692008246445,-9.040437285171935,0,1,1,0
e8_01492,support_noise,turning,ode,12,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2825082165264619,65.89230242031807,0.01605350956680298,0.03385267392297742,-0.017799164356174443,-1.108739760742492,0,1,1,0
e8_01493,support_noise,turning,ode,13,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2704411219040444,65.89230242031807,7.721267110621427e-05,0.14666072065489566,-0.14658350798378944,-1898.4385060600764,0,1,1,0
e8_01493,support_noise,turning,ode,13,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2704411219040444,65.89230242031807,0.05492338926869091,0.17403619579566737,-0.11911280652697645,-2.168708233650044,0,1,1,0
e8_01494,support_noise,turning,ode,14,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2817048005678765,65.89230242031807,0.000986473680671475,0.14580234162382422,-0.14481586794315274,-146.801552621839,0,1,1,0
e8_01494,support_noise,turning,ode,14,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2817048005678765,65.89230242031807,0.09515257041623601,0.18799431259391838,-0.09284174217768237,-0.9757144948534219,0,1,0,0
e8_01495,support_noise,turning,ode,15,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2768981672018725,65.89230242031807,0.0010710243237569918,0.04814179993517539,-0.0470707756114184,-43.94930588158933,0,1,1,0
e8_01495,support_noise,turning,ode,15,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2768981672018725,65.89230242031807,0.02476104709669057,0.06085114634338214,-0.03609009924669157,-1.4575352611608732,0,1,1,0
e8_01496,support_noise,turning,ode,16,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2661199000554862,65.89230242031807,0.0006345075614774971,0.09738150975457911,-0.09674700219310162,-152.47572774045304,0,1,1,0
e8_01496,support_noise,turning,ode,16,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2661199000554862,65.89230242031807,0.07027576190101971,0.1264732832402042,-0.0561975213391845,-0.7996714630904495,0,1,0,0
