latent_task_id,study,primitive,generator,replicate,engine,action,knowledge_tier,sample_count,heterogeneity_cv,exposure,effect_strength,support_fraction,noise_ratio,absolute_horizon,ood_distance,coverage,sharpness,ess,baseline_rmse,prior_rmse,utility,normalized_utility,beneficial,harmful,catastrophic_harm,solver_failure
e8s_00041,A2_fixed_absolute_horizon,direction,ode,1,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05382879753690176,203.55522065047197,0.17503944397208152,0.14747834137504812,0.0275611025970334,0.15745652506431262,1,0,0,0
e8s_00042,A2_fixed_absolute_horizon,direction,ode,2,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059482747803651745,203.55522065047197,0.0006886100004633431,0.000760071208708896,-7.146120824555295e-05,-0.10377602445138619,0,1,0,0
e8s_00042,A2_fixed_absolute_horizon,direction,ode,2,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059482747803651745,203.55522065047197,0.12587073846209648,0.10572400414031062,0.02014673432178586,0.1600589189190517,1,0,0,0
e8s_00043,A2_fixed_absolute_horizon,direction,ode,3,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06052938909841174,203.55522065047197,0.0035320260579189498,0.0035876926707723274,-5.5666612853377644e-05,-0.015760532889776045,0,0,0,0
e8s_00043,A2_fixed_absolute_horizon,direction,ode,3,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06052938909841174,203.55522065047197,0.17423058166710836,0.1464556219311109,0.027774959735997473,0.15941495155578012,1,0,0,0
e8s_00044,A2_fixed_absolute_horizon,direction,ode,4,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.060867463689460666,203.55522065047197,0.0002662629682737548,0.00038467079826744806,-0.00011840782999369325,-0.44470258392054646,0,1,0,0
e8s_00044,A2_fixed_absolute_horizon,direction,ode,4,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.060867463689460666,203.55522065047197,0.21056675226009994,0.17704552589037337,0.03352122636972657,0.15919524810982455,1,0,0,0
e8s_00045,A2_fixed_absolute_horizon,direction,ode,5,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06486572297527739,203.55522065047197,0.0002175186636555223,0.00017650537407816239,4.10132895773599e-05,0.1885506691155082,1,0,0,0
e8s_00045,A2_fixed_absolute_horizon,direction,ode,5,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06486572297527739,203.55522065047197,0.134600368393815,0.11317399611857723,0.021426372275237776,0.1591850938516624,1,0,0,0
e8s_00046,A2_fixed_absolute_horizon,direction,ode,6,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059112063955917414,203.55522065047197,0.004055464267439414,0.004156260365671339,-0.00010079609823192455,-0.024854391898160244,0,1,0,0
