study,primitive,engine,action,support_fraction,noise_ratio,ood_distance,n,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate
A2_fixed_absolute_horizon,curvature,spline,true-full,0.7,0.001,0.3,60,0.8166666666666667,0.7166666666666667,0.9,-0.00032557590008768325,-0.0004091765060435577,-0.000248233784123034,0.06666666666666667,0.016666666666666666
A2_fixed_absolute_horizon,curvature,spline,true-full,0.7,0.01,0.3,60,0.7833333333333333,0.6833333333333333,0.8833333333333333,-0.004841214214908725,-0.006513006946485721,-0.003403728933730314,0.15,0.0
A2_fixed_absolute_horizon,curvature,spline,true-full,0.7,0.05,0.3,60,0.8166666666666667,0.7166666666666667,0.9166666666666666,-0.03133940278484015,-0.04332658571021471,-0.02064413985401952,0.11666666666666667,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.35,0.001,0.6,60,0.0,0.0,0.0,0.02743856268759545,0.02621911575011213,0.028625822344152545,1.0,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.35,0.01,0.6,60,0.0,0.0,0.0,0.02803130136549929,0.026863847992899564,0.029189298189120663,1.0,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.35,0.05,0.6,60,0.0,0.0,0.0,0.02829402247696361,0.027252759140477964,0.029342079348550626,1.0,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.525,0.001,0.3999999999999999,60,0.0,0.0,0.0,0.03203856731685032,0.030707515213310548,0.03335467380833059,1.0,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.525,0.01,0.3999999999999999,60,0.0,0.0,0.0,0.03284804578699387,0.03144142535085193,0.03428543976493319,1.0,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.525,0.05,0.3999999999999999,60,0.0,0.0,0.0,0.03195208217409245,0.03048666936953237,0.03343698548110502,1.0,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.7,0.001,0.3,60,0.0,0.0,0.0,0.0352102231349176,0.03373676249012164,0.036638739532866615,1.0,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.7,0.01,0.3,60,0.0,0.0,0.0,0.03438084525497113,0.0329842242421027,0.03579097829496635,1.0,0.0
A2_fixed_absolute_horizon,direction,neural,true-full,0.7,0.05,0.3,60,0.05,0.0,0.11666666666666667,0.030717894931177634,0.026037967873280454,0.034622539630214305,0.95,0.016666666666666666
A2_fixed_absolute_horizon,direction,spline,true-full,0.35,0.001,0.6,60,0.7333333333333333,0.6166666666666667,0.85,-0.00012736488261611071,-0.0001672318631382652,-8.868143823077686e-05,0.18333333333333332,0.03333333333333333
A2_fixed_absolute_horizon,direction,spline,true-full,0.35,0.01,0.6,60,0.7166666666666667,0.6,0.8333333333333334,-0.0017871954454321806,-0.0023308168286074165,-0.001259104262745737,0.1,0.016666666666666666
A2_fixed_absolute_horizon,direction,spline,true-full,0.35,0.05,0.6,60,0.5833333333333334,0.4666666666666667,0.7,-0.0021418780082257884,-0.0063775325081628295,0.003166700193080443,0.26666666666666666,0.0
A2_fixed_absolute_horizon,direction,spline,true-full,0.525,0.001,0.3999999999999999,60,0.7833333333333333,0.6833333333333333,0.8833333333333333,-0.0002602461759825024,-0.0003328139040628846,-0.0001874885351707761,0.15,0.03333333333333333
A2_fixed_absolute_horizon,direction,spline,true-full,0.525,0.01,0.3999999999999999,60,0.7666666666666667,0.65,0.8666666666666667,-0.0026429687268502916,-0.0033715503639253426,-0.001906788217457959,0.18333333333333332,0.03333333333333333
A2_fixed_absolute_horizon,direction,spline,true-full,0.525,0.05,0.3999999999999999,60,0.7,0.5833333333333334,0.8166666666666667,-0.0094480201363259,-0.014376414224665453,-0.0040139548748875445,0.21666666666666667,0.0
A2_fixed_absolute_horizon,direction,spline,true-full,0.7,0.001,0.3,60,0.7166666666666667,0.6,0.8333333333333334,-0.00017975971618131102,-0.00023523786104275805,-0.000125446494995655,0.15,0.0
A2_fixed_absolute_horizon,direction,spline,true-full,0.7,0.01,0.3,60,0.6833333333333333,0.5666666666666667,0.8,-0.0016048963233816222,-0.002100851998589322,-0.0010846360855948612,0.15,0.03333333333333333
A2_fixed_absolute_horizon,direction,spline,true-full,0.7,0.05,0.3,60,0.43333333333333335,0.31666666666666665,0.5666666666666667,0.031652644436520286,0.014686606036275687,0.0518953106813097,0.4666666666666667,0.016666666666666666
A2_fixed_absolute_horizon,inflection,neural,true-full,0.35,0.001,0.6,60,0.6166666666666667,0.5,0.7333333333333333,-0.0011773849205006664,-0.002074327500786056,-0.00032323716299567466,0.35,0.21666666666666667
A2_fixed_absolute_horizon,inflection,neural,true-full,0.35,0.01,0.6,60,0.6,0.48333333333333334,0.7166666666666667,-0.0014139238849358814,-0.002363347373808435,-0.0005232100214053328,0.38333333333333336,0.23333333333333334
A2_fixed_absolute_horizon,inflection,neural,true-full,0.35,0.05,0.6,60,0.5833333333333334,0.4666666666666667,0.7,-0.001868934034893665,-0.0032677293369018914,-0.0004953423506583763,0.4166666666666667,0.3
A2_fixed_absolute_horizon,inflection,neural,true-full,0.525,0.001,0.3999999999999999,60,0.8666666666666667,0.7833333333333333,0.95,-0.013562242449386636,-0.018041418851119602,-0.009560426721298842,0.11666666666666667,0.26666666666666666
A2_fixed_absolute_horizon,inflection,neural,true-full,0.525,0.01,0.3999999999999999,60,0.8166666666666667,0.7166666666666667,0.9166666666666666,-0.014515600325092278,-0.019483326157625075,-0.010142859827771083,0.15,0.4
A2_fixed_absolute_horizon,inflection,neural,true-full,0.525,0.05,0.3999999999999999,60,0.7333333333333333,0.6166666666666667,0.85,-0.014866431144070482,-0.020460951727929135,-0.009791648660613864,0.23333333333333334,0.43333333333333335
A2_fixed_absolute_horizon,inflection,neural,true-full,0.7,0.001,0.3,60,0.9666666666666667,0.9166666666666666,1.0,-0.08130172431365036,-0.09634812277669068,-0.06706753202476035,0.016666666666666666,0.7
A2_fixed_absolute_horizon,inflection,neural,true-full,0.7,0.01,0.3,60,0.9833333333333333,0.95,1.0,-0.0799579655299495,-0.09806205323083457,-0.06317888788507126,0.016666666666666666,0.55
